"Programs","Description","Applicable OS's","Available Package Managers","Other Info"
"[ncdu](https://code.blicky.net/yorhel/ncdu)","ncdu (NCurses Disk Usage) is a curses-based version of the well-known 'du'.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/ncdu?color=f9d194)](https://formulae.brew.sh/formula/ncdu)",""
"[nmap](https://github.com/nmap/nmap)","Network exploration tool and security / port scanner.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/nmap?color=f9d194)](https://formulae.brew.sh/formula/nmap)",""
"[prettier](https://github.com/prettier/prettier)","Code formatter for JavaScript, CSS, JSON, GraphQL, Markdown, YAML.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/prettier?color=f9d194)](https://formulae.brew.sh/formula/prettier)<br>[![npm](https://img.shields.io/npm/v/prettier?color=f1e05a)](https://www.npmjs.com/package/prettier)","Recommended install method: [Npm](https://www.npmjs.com/package/prettier)."
"[pstree](http://www.thp.uni-duisburg.de/pstree/)","List processes as a tree.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pstree?color=f9d194)](https://formulae.brew.sh/formula/pstree)",""
"[pipenv](https://github.com/pypa/pipenv)","Python dependency management tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pipenv?color=f9d194)](https://formulae.brew.sh/formula/pipenv)<br>[![PyPI](https://img.shields.io/pypi/v/pipenv?color=3572A5)](https://pypi.org/project/pipenv/)",""
"[pipx](https://github.com/pypa/pipx)","Install and Run Python Applications in Isolated Environments.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pipx?color=f9d194)](https://formulae.brew.sh/formula/pipx)<br>[![PyPI](https://img.shields.io/pypi/v/pipx?color=3572A5)](https://pypi.org/project/pipx/)",""
"[pyenv](https://github.com/pyenv/pyenv)","Simple Python version management.","macos<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pyenv?color=f9d194)](https://formulae.brew.sh/formula/pyenv)",""
"[pylint](https://github.com/PyCQA/pylint)","It's not just a linter that annoys you!","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/pylint?color=f9d194)](https://formulae.brew.sh/formula/pylint)<br>[![PyPI](https://img.shields.io/pypi/v/pylint?color=3572A5)](https://pypi.org/project/pylint/)",""
"[shellcheck](https://github.com/koalaman/shellcheck)","Shell script analysis tool.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/shellcheck?color=f9d194)](https://formulae.brew.sh/formula/shellcheck)",""
"[terminal-notifier](https://github.com/julienXX/terminal-notifier)","Send macOS User Notifications from the command-line.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/terminal-notifier?color=f9d194)](https://formulae.brew.sh/formula/terminal-notifier)<br>[![Gem](https://img.shields.io/gem/v/terminal-notifier?color=701516)](https://rubygems.org/gems/terminal-notifier)","Not a command.<br>Also see the [bgnotify](#oh-my-zsh-plugins) plugin."
"[tldr](https://github.com/tldr-pages/tldr)","Simplified and community-driven man pages.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/tldr?color=f9d194)](https://formulae.brew.sh/formula/tldr)<br>[![npm](https://img.shields.io/npm/v/tldr?color=f1e05a)](https://www.npmjs.com/package/tldr)",""
"[tmux](https://github.com/tmux/tmux)","tmux is a terminal multiplexer: it enables a number of terminals to be created, accessed, and controlled from a single screen.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/tmux?color=f9d194)](https://formulae.brew.sh/formula/tmux)",""
"[trash-cli](https://github.com/andreafrancia/trash-cli)","Command line interface to the freedesktop.org trashcan.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/trash-cli?color=f9d194)](https://formulae.brew.sh/formula/trash-cli)<br>[![PyPI](https://img.shields.io/pypi/v/trash-cli?color=3572A5)](https://pypi.org/project/trash-cli/)","Command: `trash` (alias for `trash-put`), `trash-empty`, `trash-list`, `trash-restore`, `trash-rm`."
"[tree](http://mama.indstate.edu/users/ice/tree/)","Display directories as trees (with optional color/HTML output).","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/tree?color=f9d194)](https://formulae.brew.sh/formula/tree)",""
"[vim](https://github.com/vim/vim)","Vi 'workalike' with many additional features.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/vim?color=f9d194)](https://formulae.brew.sh/formula/vim)",""
"[youtube-dl](https://github.com/ytdl-org/youtube-dl)","Command-line program to download videos from YouTube.com and other video sites.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/youtube-dl?color=f9d194)](https://formulae.brew.sh/formula/youtube-dl)<br>[![PyPI](https://img.shields.io/pypi/v/youtube-dl?color=3572A5)](https://pypi.org/project/youtube-dl/)",""
"[zip](http://infozip.sourceforge.net/Zip.html)","Compression and file packaging/archive utility.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/zip?color=f9d194)](https://formulae.brew.sh/formula/zip)",""
"[zsh](https://www.zsh.org/)","UNIX shell (command interpreter).","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/zsh?color=f9d194)](https://formulae.brew.sh/formula/zsh)","Not a command."
"[zsh-autosuggestions](https://github.com/zsh-users/zsh-autosuggestions)","Fish-like autosuggestions for zsh.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/zsh-autosuggestions?color=f9d194)](https://formulae.brew.sh/formula/zsh-autosuggestions)<br>[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/zsh-users/zsh-autosuggestions)","Not a command.<br>[Zsh](https://github.com/zsh-users/zsh) must be installed.<br>[Install instructions](https://github.com/zsh-users/zsh-autosuggestions/blob/master/INSTALL.md#oh-my-zsh)."
"[zsh-completions](https://github.com/zsh-users/zsh-completions)","Additional completion definitions for Zsh.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/zsh-completions?color=f9d194)](https://formulae.brew.sh/formula/zsh-completions)<br>[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/zsh-users/zsh-completions)","Not a command.<br>[Zsh](https://github.com/zsh-users/zsh) must be installed."
"[zsh-syntax-highlighting](https://github.com/zsh-users/zsh-syntax-highlighting)","Fish shell like syntax highlighting for Zsh.","macOS<br>Linux","[![homebrew version](https://img.shields.io/homebrew/v/zsh-syntax-highlighting?color=f9d194)](https://formulae.brew.sh/formula/zsh-syntax-highlighting)<br>[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/zsh-users/zsh-syntax-highlighting)","Not a command.<br>[Zsh](https://github.com/zsh-users/zsh) must be installed.<br>[Install instructions](https://github.com/zsh-users/zsh-syntax-highlighting/blob/master/INSTALL.md#oh-my-zsh)."
